Name;Tracks;Scrobbles;Rank
"⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ";"19";"87";"144"
"Tunnelvisions";"8";"8";"1778"
"HAAi";"23";"58";"240"
"Sälen";"1";"1";"5558"
"Awate";"6";"6";"2230"
"Kamasi Washington";"25";"33";"420"
"Ben Westbeech";"11";"13";"1135"
"Yellow Days";"23";"41";"340"
"Al-chem";"4";"10";"1478"
"Darwish";"12";"20";"727"
"Babatunde Olatunji";"1";"1";"5559"
"Her";"8";"21";"691"
"Izem";"4";"4";"2887"
"Harts";"1";"4";"2888"
"Kilo Kish";"1";"1";"5560"
"Msafiri Zawose";"1";"1";"5561"
"Colin Stetson";"1";"2";"4163"
"Kalaha";"1";"1";"5562"
"Alex Izenberg";"27";"38";"371"
"Neue Grafik";"8";"19";"768"
"Lokal Affair";"1";"1";"5563"
"Thornato";"7";"19";"769"
"Cumbia Cosmonauts";"1";"2";"4164"
"Mabuta";"8";"8";"1779"
"Ariwo";"10";"13";"1136"
"TSHEGUE";"1";"1";"5564"
"Nicole Willis";"17";"24";"586"
"Jono McCleery";"3";"4";"2889"
"El Michels Affair";"13";"28";"500"
"Everything Is Recorded";"2";"4";"2890"
"Makadem";"3";"6";"2231"
"Lagartijeando";"8";"8";"1780"
"Melanie De Biasio";"2";"15";"982"
"Joomanji";"2";"4";"2891"
"Washed Out";"29";"108";"101"
"Nadah El Shazly";"1";"3";"3405"
"Daymé Arocena";"2";"4";"2892"
"Voilaaa";"5";"10";"1479"
"Sarah Elizabeth Charles";"2";"2";"4165"
"The Orchestra Soledad";"3";"3";"3406"
"Nilüfer Yanya";"3";"4";"2893"
"OKZHARP";"1";"1";"5565"
"E Ruscha V";"7";"196";"34"
"Mr. Mitch";"4";"23";"622"
"K15";"17";"25";"560"
"Ikebe Shakedown";"3";"6";"2232"
"Kutiman";"15";"26";"537"
"KiNK";"3";"4";"2894"
"Boncana Maïga";"4";"11";"1344"
"Maajo";"38";"179";"43"
"Fatima";"4";"6";"2233"
"Das Komplex";"1";"1";"5566"
"The Mauskovic Dance Band";"12";"39";"362"
"Uffe";"6";"18";"815"
"Locust Toybox";"7";"119";"83"
"Makaya McCraven";"53";"93";"130"
"Big Thief";"16";"109";"96"
"Photay";"27";"39";"363"
"Young Fathers";"12";"35";"399"
"Stimming x Lambert";"22";"106";"106"
"Ghostpoet";"24";"35";"400"
"Carol Anne McGowan";"1";"1";"5567"
"Dauwd";"31";"242";"22"
"Emanative";"57";"131";"73"
"STAC";"1";"2";"4166"
"Rosie Brown";"1";"1";"5568"
"Dele Sosimi";"16";"114";"90"
"Paper Tiger";"4";"4";"2895"
"Black Classical";"25";"75";"171"
"Mecca:83";"1";"1";"5569"
"Resonators";"1";"1";"5570"
"Sarathy Korwar";"14";"26";"538"
"Crazy P";"21";"41";"341"
"Yazz Ahmed";"10";"18";"816"
"Julia Biel";"1";"1";"5571"
"Blue States";"3";"3";"3407"
"Plantrae";"1";"1";"5572"
"Elsa Hewitt";"5";"6";"2234"
"Kerem Akdağ";"4";"8";"1781"
"Imarhan";"1";"1";"5573"
"Khruangbin";"64";"122";"78"
"Mala";"3";"9";"1611"
"Randy Weston";"1";"1";"5574"
"Golden Teacher";"8";"19";"770"
"Little Simz";"11";"29";"479"
"Thump";"1";"1";"5575"
"Collocutor";"15";"26";"539"
"Emanative & Earl Zinger & RN9";"1";"1";"5576"
"Kodäma";"4";"7";"1976"
"Slowdive";"2";"2";"4167"
"Larry de Kat";"11";"17";"875"
"Ninze";"5";"6";"2235"
"ÌFÉ";"2";"11";"1345"
"Etherwood";"1";"1";"5577"
"Hector Plimmer";"25";"51";"279"
"Afriquoi";"2";"2";"4168"
"Suplington";"1";"1";"5578"
"Honny & The Bees Band";"1";"6";"2236"
"Gorillaz";"41";"219";"27"
"Alice Russell";"2";"21";"692"
"Dabrye";"18";"50";"285"
"Black Classical meets Sarah Webster Fabio";"2";"2";"4169"
"Yahoos";"1";"1";"5579"
"Oscar Sulley";"1";"1";"5580"
"DAISHO";"2";"4";"2896"
"Sun Ra";"7";"32";"434"
"DJ Sports";"8";"12";"1236"
"Fiium Shaarrk";"5";"7";"1977"
"Group As Salaam";"1";"1";"5581"
