Name;Tracks;Scrobbles;Rank
"Burnt Friedman";"2";"4";"2969"
"Christian Naujoks";"1";"1";"5987"
"Ligovskoï";"1";"1";"5988"
"Tenniscoats";"1";"2";"4382"
"John Luther Adams";"1";"1";"5989"
"A Macaca & Peter Power";"1";"4";"2970"
"Arutani, Steffen Kirchhoff";"1";"1";"5990"
"Lena Willikens";"1";"7";"2020"
"Lucas Croon & Carsten Dämbkes";"1";"2";"4383"
"Lucas Croon";"1";"1";"5991"
"Sonido Gallo Negro";"8";"18";"830"
"Noblesse Oblige";"2";"3";"3542"
"Dollskabeat";"1";"1";"5992"
"Vakula & Kuniyuki";"5";"17";"882"
"Karen Gwyer";"7";"13";"1158"
"Eris Drew";"19";"42";"333"
"Marquis Hill";"1";"1";"5993"
"Octo Octa";"19";"62";"220"
"Rina";"1";"1";"5994"
"Fit of Body";"11";"29";"485"
"Hecq";"1";"1";"5995"
"Neil Cowley Trio";"20";"99";"115"
"Johanna Knutsson";"1";"2";"4384"
"Mathew Jonson";"5";"23";"630"
"Charlotte dos Santos";"4";"4";"2971"
"Sivu";"4";"10";"1505"
"Darling";"10";"11";"1377"
"Os Originais Do Samba";"1";"1";"5996"
"P.r.Λ.Λ.H";"1";"1";"5997"
"Peter Gregson";"13";"14";"1057"
"dominik marz";"1";"1";"5998"
"Alan Braufman";"2";"2";"4385"
"Akala";"1";"1";"5999"
"Ego Ella May";"16";"42";"334"
"Volo";"3";"7";"2021"
"Hejira";"2";"9";"1643"
"Faodail";"1";"2";"4386"
"Tor";"6";"11";"1378"
"SubLab";"1";"1";"6000"
"David Holmes";"3";"5";"2572"
"Michel Redolfi";"1";"2";"4387"
"Gigi Masin";"8";"16";"943"
"Oliver Coates";"5";"8";"1820"
"june11";"1";"8";"1821"
"Roy Montgomery";"1";"2";"4388"
"Lou Ragland";"1";"2";"4389"
"Le Stim";"1";"1";"6001"
"Osmar Milito";"1";"1";"6002"
"Trio Ternura";"1";"6";"2289"
"Joyce/Part. Esp.: Gilson Peranzzetta Gentilmente Cedido Pela Vison";"1";"1";"6003"
"Oluko Imo";"2";"8";"1822"
"Nat King Cole";"5";"7";"2022"
"The Waitresses";"1";"1";"6004"
"The Darkness";"1";"2";"4390"
"John Denver";"2";"2";"4391"
"Bruce Springsteen";"1";"4";"2972"
"Jona Lewie";"2";"3";"3543"
"Andy Williams";"2";"4";"2973"
"The Pretenders";"1";"1";"6005"
"Wham!";"2";"4";"2974"
"Leona Lewis";"1";"2";"4392"
"Mariah Carey";"1";"5";"2573"
"Shakin' Stevens";"2";"6";"2290"
"Steps";"1";"1";"6006"
"Daryl Hall & John Oates";"1";"3";"3544"
"The Crystals";"2";"2";"4393"
"Brenda Lee";"2";"5";"2574"
"Darlene Love";"2";"5";"2575"
"The Jackson 5";"3";"4";"2975"
"Little Mix";"1";"1";"6007"
"Noddy Holder";"1";"1";"6008"
"John Lennon";"2";"5";"2576"
"Kylie Minogue";"2";"3";"3545"
"Idina Menzel";"1";"2";"4394"
"Carly Rae Jepsen";"1";"1";"6009"
"Mud";"1";"1";"6010"
"Band Aid";"1";"3";"3546"
"The Pogues";"2";"3";"3547"
"Kelly Clarkson";"3";"4";"2976"
"Elton John";"3";"5";"2577"
"Wizzard";"1";"1";"6011"
"Michael Bublé";"4";"7";"2023"
"Boney M.";"1";"2";"4395"
"The Wombats";"1";"1";"6012"
"Miley Cyrus";"1";"2";"4396"
"R. Kelly";"1";"1";"6013"
"Clementine Duo";"2";"2";"4397"
"Gabrielle Aplin";"1";"1";"6014"
"Olga Chung";"1";"2";"4398"
"Mindy Gledhill";"1";"1";"6015"
"Josh Garrels";"1";"1";"6016"
"Handsome and Gretyl";"2";"2";"4399"
"Tyrone Wells";"2";"2";"4400"
"Jillian Edwards";"1";"1";"6017"
"Adam Christopher";"1";"1";"6018"
"Caroline Pennell";"2";"2";"4401"
"Johnnyswim";"2";"2";"4402"
"Jack Johnson";"1";"2";"4403"
"Amber Leigh Irish";"1";"1";"6019"
"Tore Bojsten";"2";"2";"4404"
"Jason Mraz";"2";"2";"4405"
"Missy & Blonde";"1";"1";"6020"
"Catherine Feeny";"1";"2";"4406"
"Lydia Liza";"1";"2";"4407"
"Karizma Duo";"1";"1";"6021"
"Daniela Andrade";"2";"4";"2977"
"Jaymay";"1";"1";"6022"
"Cœur de Pirate";"1";"1";"6023"
"Jon McLaughlin";"1";"1";"6024"
"Sara Farell";"1";"1";"6025"
"Darlene Zschech";"1";"1";"6026"
"Cody Simpson";"1";"1";"6027"
"Mason Jennings";"1";"1";"6028"
"First Aid Kit";"1";"1";"6029"
"Sovereign Grace Music";"1";"1";"6030"
"Eric Lugosch";"1";"2";"4408"
"Keston Cobblers Club";"1";"2";"4409"
"Ron Sexsmith";"1";"1";"6031"
"Dundas";"1";"1";"6032"
"Bright Eyes";"1";"1";"6033"
"Dan Berk";"1";"1";"6034"
"Meiko";"1";"1";"6035"
"Bailey Jehl";"1";"1";"6036"
"Rose Cousins";"1";"1";"6037"
"Andreas Weise";"1";"2";"4410"
"Brad Paisley";"1";"1";"6038"
"Perry Como";"3";"8";"1823"
"Elvis Presley";"4";"6";"2291"
"John Williams";"2";"2";"4411"
"Johnny Mathis";"1";"2";"4412"
"Run–D.M.C.";"2";"2";"4413"
"Nightmares on Wax";"46";"94";"126"
"Mazzy Star";"1";"3";"3548"
"Sirens Of Lesbos";"2";"10";"1506"
"Johnny Moore";"1";"2";"4414"
"Danilo & Pablo";"1";"1";"6039"
"salvador araguaya";"2";"2";"4415"
"Gappy Ranks";"1";"1";"6040"
"Cuthead";"1";"1";"6041"
"Intimate Disco";"1";"1";"6042"
"Psalms";"1";"1";"6043"
"Yvonne Gray";"1";"1";"6044"
"Bobby Hebb";"1";"1";"6045"
"Bill Laurance";"3";"5";"2578"
"Jimmy Smith";"8";"10";"1507"
"Johann Sebastian Bach";"145";"238";"24"
"Patti Austin";"1";"2";"4416"
"Leon Thomas";"2";"5";"2579"
"Prins Thomas";"33";"112";"94"
"Klein";"1";"1";"6046"
"son.sine";"1";"3";"3549"
"Haley";"24";"144";"62"
"Peter Thomas";"1";"3";"3550"
"Güero";"8";"9";"1644"
"Bruce Antoine";"1";"1";"6047"
"Annie Leigh";"2";"2";"4417"
"Paul Williams";"1";"1";"6048"
"Pyotr Ilyich Tchaikovsky";"5";"5";"2580"
"Arthur Mass";"1";"2";"4418"
"Leroy Anderson";"1";"2";"4419"
"Dana Daoud";"3";"3";"3551"
"Philip Watts";"2";"3";"3552"
"Christmas Piano Players";"1";"1";"6049"
"Mila Crowell";"3";"3";"3553"
"Oscar Peterson Trio";"2";"5";"2581"
"Antonio Vivaldi";"6";"6";"2292"
"Randol Alan Bass";"1";"1";"6050"
"Felix Mendelssohn";"4";"4";"2978"
"Hector Berlioz";"1";"1";"6051"
"Giacomo Puccini";"1";"1";"6052"
"Sergei Rachmaninoff";"6";"21";"704"
"Osunlade";"9";"61";"225"
"Blutch";"7";"7";"2024"
"Dan Romer";"6";"6";"2293"
"Wayward";"4";"5";"2582"
"FlowerPowder";"1";"1";"6053"
"Isaac Soto";"22";"39";"366"
"Amaro Freitas";"12";"31";"451"
"Lnrdcroy";"4";"5";"2583"
"Leo Pol";"9";"18";"831"
"Schacke";"1";"1";"6054"
"Henri Texier";"2";"4";"2979"
"Anthony Shakir";"1";"2";"4420"
"DJ HEURE";"1";"1";"6055"
"La-Le-Lu";"1";"1";"6056"
"Szare";"1";"4";"2980"
"BLAKK EARTH";"1";"1";"6057"
"Traversable Wormhole";"1";"1";"6058"
"DJ Slip";"1";"1";"6059"
"Birth Of Frequency";"1";"1";"6060"
"Mark Broom";"3";"4";"2981"
"Radial";"1";"1";"6061"
"Steve Stoll";"1";"1";"6062"
"Lewis Fautzi";"1";"1";"6063"
"Ellie Goulding";"1";"1";"6064"
"Surgeon";"2";"2";"4421"
"2000 and One";"1";"1";"6065"
"Matthew Dear";"1";"4";"2982"
"DJ Emerson";"1";"3";"3554"
"TJ Kong";"1";"1";"6066"
"Woo York";"1";"1";"6067"
"Heiko Laux";"1";"1";"6068"
"System 01";"1";"1";"6069"
"Drexciya";"3";"9";"1645"
"Dax J";"1";"1";"6070"
"Antigone";"1";"1";"6071"
"Basic Channel";"1";"1";"6072"
"Huerco S.";"7";"22";"669"
"El Búho";"1";"1";"6073"
"s a r a s a r a";"1";"1";"6074"
"Special Request";"2";"2";"4422"
"ODESZA";"1";"1";"6075"
"Giraffi Dog";"1";"1";"6076"
"Kez YM";"2";"6";"2294"
"The Screenshots";"17";"24";"594"
"Fila Brazillia";"5";"7";"2025"
"MJ Lallo";"1";"1";"6077"
"XOA";"17";"70";"188"
"Jan Turkenburg";"2";"2";"4423"
"Art Tatum";"2";"2";"4424"
"Kay Starr";"2";"2";"4425"
"Johnny Hodges";"1";"1";"6078"
"Thad Jones";"1";"1";"6079"
"Claude Thornhill & His Orchestra";"1";"1";"6080"
"Niccolò Paganini";"1";"1";"6081"
"Weather Report";"1";"1";"6082"
"Ana Moura";"2";"2";"4426"
"The Dave Brubeck Quartet";"1";"2";"4427"
"Gonzalo Rubalcaba";"7";"11";"1379"
"Dieter Klöcker";"1";"2";"4428"
"Earl Sweatshirt";"2";"2";"4429"
"Shuta Hasunuma";"1";"1";"6083"
"Sultan Shakes";"1";"3";"3555"
"Melodiesinfonie";"19";"45";"311"
"Mariah";"1";"1";"6084"
"Jazz Dialogue";"1";"2";"4430"
"knowmadic";"1";"1";"6085"
"Damu The Fudgemunk";"1";"1";"6086"
"CoryaYo";"5";"12";"1252"
"Shaqdi";"1";"1";"6087"
"$oudière";"1";"4";"2983"
"Matthew Halsall";"8";"14";"1058"
"Tenesha The Wordsmith feat.DJ Khalab";"2";"7";"2026"
"Bassekou Kouyate";"11";"56";"255"
"Uniting Of Opposites";"4";"14";"1059"
"INTINAHUAL";"4";"5";"2584"
"The Deli";"1";"1";"6088"
"Nujabes";"1";"1";"6089"
"Tangerine Dream";"1";"1";"6090"
"Soulchef";"2";"2";"4431"
"momü";"2";"2";"4432"
"FloFilz";"7";"11";"1380"
"DJ YUNG VAMP";"2";"3";"3556"
"SwuM";"1";"1";"6091"
"A Tribe Called Quest";"5";"7";"2027"
"Kupla";"4";"5";"2585"
"Kenji";"1";"1";"6092"
"Ryan Peña";"1";"2";"4433"
"Slight";"1";"3";"3557"
"P. Adrix";"1";"1";"6093"
"Talaboman";"18";"94";"127"
"LAKEY INSPIRED";"1";"1";"6094"
"C Y G N";"1";"1";"6095"
"Shamana";"1";"2";"4434"
"Home";"1";"1";"6096"
"Freddie Joachim";"1";"1";"6097"
"Handbook";"1";"1";"6098"
"9th Wonder";"1";"1";"6099"
"Stan Forebee";"4";"8";"1824"
"Derek Michael";"1";"4";"2984"
"Sam Dees";"1";"1";"6100"
"Charlie Haden";"2";"3";"3558"
"Horace Silver";"4";"6";"2295"
"Eric Dolphy";"1";"1";"6101"
"Blossom Dearie";"1";"1";"6102"
"The Nat King Cole Trio";"1";"1";"6103"
"Louis Moreau Gottschalk";"1";"1";"6104"
"James Carter";"1";"1";"6105"
"Eddie Harris";"2";"4";"2985"
"Mily Balakirev";"1";"1";"6106"
"Andy Sheppard";"1";"1";"6107"
"McCoy Tyner Trio";"1";"1";"6108"
"Horace Silver Quintet";"2";"2";"4435"
"Lennie Niehaus";"1";"1";"6109"
"Volker Kriegel";"1";"4";"2986"
"Don Ellis Band";"1";"3";"3559"
"China Moses";"8";"27";"523"
"George Duke";"2";"3";"3560"
"Elvin Jones Jazz Machine";"1";"2";"4436"
"Sascha Funke";"11";"29";"486"
"Flamingo Pier";"4";"11";"1381"
"Viken Arman";"25";"161";"55"
"Weval";"30";"78";"163"
"Twerking Class Heroes";"2";"5";"2586"
"Brigade";"3";"8";"1825"
"The Outer Limits";"1";"1";"6110"
"Dave Brubeck";"8";"8";"1826"
"Igor Stravinsky";"1";"1";"6111"
"Hampton Hawes Trio";"1";"1";"6112"
"Sarah Vaughan";"1";"1";"6113"
"Lee Konitz";"1";"1";"6114"
"Henry Purcell";"1";"1";"6115"
"Billie Holiday";"1";"1";"6116"
"Selaelo Selota";"1";"1";"6117"
"Hank Jones";"1";"1";"6118"
"Baldassare Galuppi";"3";"4";"2987"
"Cedar Walton";"1";"1";"6119"
"Lennie Tristano";"1";"1";"6120"
"Melody Gardot";"1";"1";"6121"
"All in One";"4";"4";"2988"
"Baby Ford";"1";"1";"6122"
"Brian Keane featuring Omar Faruk Tekbilek, Dinçer Dalkiliç, Emin Gündüz";"7";"7";"2028"
"Cocteau Twins";"3";"3";"3561"
"Eric B. & Rakim";"3";"3";"3562"
"Benjamin Fröhlich";"2";"2";"4437"
"Fern Kinney";"1";"2";"4438"
"Bruce Haack";"2";"3";"3563"
"Turns";"1";"1";"6123"
"Brian Bennett Band";"1";"1";"6124"
"Claude Speeed";"1";"1";"6125"
"Sun Araw";"1";"1";"6126"
"Richard Schneider JR.";"1";"1";"6127"
"The Durian Brothers";"1";"1";"6128"
"Joel Graham";"1";"1";"6129"
"Interstellar Funk";"1";"1";"6130"
"Kyle Hall";"3";"3";"3564"
"Casually Here";"2";"2";"4439"
"Lucrecia Dalt";"3";"11";"1382"
"Schrecken & Bernhard Bauch";"9";"18";"832"
"Caroline Rose";"12";"14";"1060"
"Louis Cole";"2";"3";"3565"
"Ben Hayes";"5";"19";"779"
"Dexter Story";"28";"108";"103"
"Beatrice Dillon & Kassem Mosse";"2";"3";"3566"
"Vedagor";"7";"14";"1061"
"Phaserboys";"4";"15";"994"
"V (24)";"24";"30";"470"
"Kid Koala";"16";"16";"944"
"Vedomir";"11";"23";"631"
"Audion";"1";"1";"6131"
"Dionigi";"2";"2";"4440"
"Atom TM";"5";"6";"2296"
"DJ Nature & Kuniyuki";"3";"13";"1159"
"K15 & Kuniyuki";"1";"3";"3567"
"Kuniyuki & Jimpster";"2";"6";"2297"
"The War on Drugs";"1";"1";"6132"
"Die Orangen";"5";"11";"1383"
"Rick Cuevas";"1";"1";"6133"
"Medeski, Martin & Wood";"5";"11";"1384"
"Coro Qom Chelaalapi";"2";"2";"4441"
"Tommy Galento";"2";"2";"4442"
"Beans";"1";"1";"6134"
"Opio";"1";"1";"6135"
"Marlowe";"3";"4";"2989"
"Hilmar Jensson";"1";"1";"6136"
"David August";"11";"14";"1062"
"Tapes";"9";"22";"670"
"Illa J";"1";"1";"6137"
"nkisi";"2";"2";"4443"
"Kuniyuki";"10";"11";"1385"
"Catastrophe";"2";"2";"4444"
"Aaron Parks";"1";"1";"6138"
"Wilma Vritra";"16";"41";"344"
"Rene Schier";"1";"1";"6139"
"Will Dimaggio";"8";"31";"452"
"De Pikles";"1";"1";"6140"
"David Stout";"1";"1";"6141"
"Phyllyp Vernacular";"1";"1";"6142"
"Pinty";"8";"30";"471"
"Ibu Selva";"11";"13";"1160"
"azul-revolto";"1";"1";"6143"
"Oberst & Buchner";"2";"2";"4445"
"Dan Croll";"1";"1";"6144"
"kalupke";"5";"14";"1063"
"William Arcane";"4";"10";"1508"
"Birdhouse";"12";"43";"327"
"Genius of Time";"6";"10";"1509"
"Moonstarr";"2";"5";"2587"
"The Jet Age of Tomorrow";"8";"8";"1827"
"Jet Age of Tomorrow";"2";"2";"4446"
"Nomade Records";"3";"3";"3568"
"Tommy Guerrero";"21";"31";"453"
"The Elder Statesman";"1";"1";"6145"
"Catching Flies";"20";"52";"275"
"Jean-Luc Ponty";"2";"3";"3569"
"Kuniyuki Takahashi";"12";"15";"995"
"Hendrick Valera";"1";"1";"6146"
"Vernal Equinox";"2";"11";"1386"
"Biralo";"2";"2";"4447"
"Yellow Shoots";"4";"17";"883"
"Anchorsong";"13";"45";"312"
"BRANKO";"11";"20";"737"
"KH";"1";"2";"4448"
"Alex Kassian";"5";"17";"884"
"âme";"1";"4";"2990"
"Durante";"1";"4";"2991"
"Harry Charles";"2";"5";"2588"
"Ian Ewing";"1";"1";"6147"
"Olsen";"1";"3";"3570"
"Lee Ritenour";"1";"1";"6148"
"Chasman";"1";"1";"6149"
"Sony Enang";"1";"2";"4449"
"Steve Marshall";"1";"1";"6150"
"Janus Rasmussen";"13";"68";"197"
"Caribou";"6";"8";"1828"
"Debora Ipekel";"1";"1";"6151"
"Colin Matthews";"1";"1";"6152"
"d'Voxx";"1";"1";"6153"
"Jay Glass Dubs";"6";"6";"2298"
"Ensemble Economique";"1";"1";"6154"
"Waak Waak Djungi";"1";"1";"6155"
"Sonny Sharrock";"1";"2";"4450"
"Sly & Robbie";"1";"5";"2589"
"Lijadu Sisters";"2";"8";"1829"
"LA Priest";"3";"19";"780"
"moscoman";"4";"5";"2590"
"Saâda Bonaire";"4";"5";"2591"
"Jill Kroesen";"1";"1";"6156"
"Midori Takada";"3";"3";"3571"
"Urfali Babi";"1";"1";"6157"
"Finis Africae";"1";"1";"6158"
"Waipod Phetsuphan";"1";"1";"6159"
"Orchestra Baobab";"1";"1";"6160"
"Tempel Rytmik";"1";"3";"3572"
"Lawrence le doux";"1";"42";"335"
"Pedro Vian";"1";"1";"6161"
"Pye Corner Audio";"6";"8";"1830"
"Sir Victor Uwaifo";"1";"8";"1831"
"Aroop Roy";"6";"31";"454"
"young wolf";"2";"4";"2992"
"Bombino";"1";"1";"6162"
"Holly Walker";"9";"21";"705"
"Zapatilla";"3";"8";"1832"
"Neil Cowley";"38";"239";"23"
"MAST (4)";"1";"1";"6163"
"Jeremy Spellacey";"1";"1";"6164"
"DJs Pareja";"1";"1";"6165"
"Gesaffelstein";"1";"1";"6166"
"The Chemical Brothers";"2";"2";"4451"
"Maxmillion Dunbar";"2";"4";"2993"
"Armando";"2";"2";"4452"
"Firma Do Txiga";"1";"1";"6167"
"Üdytü Ützeltürk And His Male Harem";"1";"1";"6168"
"Jennifer Lara";"2";"8";"1833"
"Arthur Miles";"1";"2";"4453"
"Fantastic Mr Fox";"1";"2";"4454"
"Frits Wentink";"6";"26";"551"
"Space Invadas";"12";"35";"401"
"Mitú";"2";"3";"3573"
"SLG";"1";"3";"3574"
"Qtier";"1";"3";"3575"
"Nadine Shah";"1";"2";"4455"
"Luiz Bonfá";"8";"15";"996"
"Etta Bond";"1";"3";"3576"
"La Lupe";"1";"1";"6169"
"Jon Wesseltoft";"1";"2";"4456"
"Harmonia";"1";"3";"3577"
"Peter Power & Psilosamples";"1";"3";"3578"
"Leonidas Jancidakis, Mauricio Sprovieri & Renato Nassif";"1";"1";"6170"
"Peter Power & Bronze Savage";"1";"2";"4457"
"Jlin";"3";"5";"2592"
"Bèzuayènè Zègèyè";"1";"2";"4458"
"Gregory Isaacs";"1";"1";"6171"
"Teta Lando";"1";"3";"3579"
"Sir Shina Peters";"1";"3";"3580"
"Delicious Inc.";"1";"3";"3581"
"Nastro";"1";"1";"6172"
"Vakula:Kez YMV";"1";"1";"6173"
"Rob";"2";"3";"3582"
"Morcheeba";"4";"7";"2029"
"Iñigo Vontier";"3";"3";"3583"
"Footshooter";"10";"25";"570"
"Dreem Lion";"1";"1";"6174"
"Alexis Le-Fan";"1";"1";"6175"
"Pulo Ndj";"15";"22";"671"
"LOVE, PEACE & TRANCE";"1";"1";"6176"
"Laurel Halo";"2";"3";"3584"
"Stallone The Reducer";"1";"2";"4459"
"Parris";"2";"8";"1834"
"Rrose";"1";"2";"4460"
"Machine Woman";"1";"2";"4461"
"Mittagsjournal (30.03.2019) by ORF Radio Ö1";"1";"2";"4462"
"Siti Muharam";"1";"1";"6177"
"Love";"10";"12";"1253"
"Matanza;Maywa";"1";"1";"6178"
"Time Wharp";"3";"4";"2994"
"Journal um 5 (31.03.2019) by ORF Radio Ö1";"1";"1";"6179"
"Abendjournal um 18 (02.04.2019) by ORF Radio Ö1";"1";"1";"6180"
"Jiony";"22";"36";"393"
"RELAÉN";"4";"9";"1646"
"Wu-Lu";"5";"8";"1835"
"Scrimshire";"10";"26";"552"
"Benjamin Brunn";"3";"4";"2995"
"African Vibration";"1";"7";"2030"
"Slow Nomaden";"2";"2";"4463"
"Boogat";"1";"6";"2299"
"Shimshon Miel";"2";"3";"3585"
"Andi Theke";"1";"1";"6181"
"Khaled Kurbeh";"4";"14";"1064"
"Admin";"4";"5";"2593"
"Ciel";"2";"3";"3586"
"Mulatu Astatke";"9";"20";"738"
"Samo DJ";"2";"8";"1836"
"Tornado Wallace";"5";"11";"1387"
"Don't Dj";"2";"7";"2031"
"Daphne";"3";"9";"1647"
"Second Language";"2";"6";"2300"
"Tiago";"2";"6";"2301"
"Karamika";"2";"7";"2032"
"The Sun God";"2";"5";"2594"
"Powder";"11";"23";"632"
"Vertigo Inc";"2";"4";"2996"
"K-Line";"2";"4";"2997"
"Kettenkarussell";"3";"9";"1648"
"jules etienne";"2";"3";"3587"
"Lord of the Isles";"7";"20";"739"
"COS/MES";"4";"4";"2998"
"AkizzBeatzz";"1";"1";"6182"
"Marie Davidson";"5";"19";"781"
"Theo Parrish";"8";"18";"833"
"Call Super";"27";"68";"198"
"Sylvan Esso";"1";"1";"6183"
"Maceo & The Macks";"1";"1";"6184"
"Lamb";"1";"1";"6185"
"James Alexander Bright";"1";"1";"6186"
"Masked Man";"1";"1";"6187"
"JrD.";"1";"1";"6188"
"Charlie Megira";"1";"1";"6189"
"Ernesto Djédjé";"1";"1";"6190"
"Timmy Thomas";"1";"4";"2999"
"R. D. Burman";"1";"1";"6191"
"Letta Mbulu";"8";"71";"183"
"George McCrae";"1";"5";"2595"
"Can";"3";"6";"2302"
"Kaada";"2";"5";"2596"
"Desmond Dekker";"1";"5";"2597"
"D.R. Hooker";"1";"1";"6192"
"Dan Bay";"6";"12";"1254"
"The Durutti Column";"5";"14";"1065"
"Eddie Warner";"1";"1";"6193"
"CHIEMI ERI";"1";"1";"6194"
"The People Star";"1";"1";"6195"
"The Apostles";"1";"3";"3588"
"STEVE MONITE";"2";"11";"1388"
"Sweet Talks";"1";"1";"6196"
"Lidaju Sisters";"1";"1";"6197"
"Voodoohop";"2";"2";"4464"
"Shina Williams & His African Percussionists";"2";"5";"2598"
"SPACE INVADAS;Guilty Simpson";"1";"1";"6198"
"Daboa";"1";"1";"6199"
"Gnonnas Pédro";"1";"7";"2033"
"Hany Mehanna";"1";"1";"6200"
"Miriam Makeba";"1";"2";"4465"
"Tenor Saw";"1";"8";"1837"
"Sizike";"1";"3";"3589"
"Orange Juice";"1";"1";"6201"
"France Gall";"1";"1";"6202"
"Harmonic Sounds Band";"1";"1";"6203"
"Quiet Storm";"1";"1";"6204"
"The Time";"1";"1";"6205"
"Cheryl Lynn";"1";"1";"6206"
"Lord Rhaburn";"1";"1";"6207"
"Sons Of The Kingdom";"1";"1";"6208"
"Atomic Forest";"1";"1";"6209"
"Los Aragon";"1";"1";"6210"
"Jack Bruce";"1";"1";"6211"
"A Made Up Sound";"1";"1";"6212"
"Wolf MÃ¼ller meets the Nile Project";"4";"4";"3000"
"Y-Bayani and Baby Naa & their Band of Enlightenment Reason and Love";"1";"1";"6213"
"Lee Dodou";"1";"1";"6214"
"Y-Bayani & His Band of Enlightenment Reason and Love";"1";"4";"3001"
"The Polyversal Souls";"2";"7";"2034"
"Richard Bone";"1";"1";"6215"
"Aparde";"2";"2";"4466"
"Benedikt Frey";"2";"6";"2303"
"Josin";"2";"2";"4467"
"Leonidas Jancidakis";"1";"1";"6216"
"Sam Irl";"1";"1";"6217"
"Jesse Futerman";"5";"11";"1389"
"Igor Jadranin";"1";"1";"6218"
"Poirier";"2";"3";"3590"
"Smbd";"1";"2";"4468"
"Eric Lau";"1";"1";"6219"
"13th Amendment";"1";"1";"6220"
"Elijah & The Ebonites";"1";"2";"4469"
"Young Senators";"1";"3";"3591"
"Nathan Britton";"2";"2";"4470"
"EVM 128 Edit";"1";"1";"6221"
"Clutchy Hopkins";"3";"3";"3592"
"Liquid Pegasus";"1";"2";"4471"
"Colm K Edit";"1";"1";"6222"
"Dr. Mad";"1";"1";"6223"
"KenLo Craqnuques";"1";"1";"6224"
"Victim Rebirth";"1";"1";"6225"
"Wolf Müller; Niklas Wandt";"3";"3";"3593"
"Uku Kuut";"12";"15";"997"
"DJ Chap";"1";"1";"6226"
"Aluna";"1";"1";"6227"
"Pauline Anna Storm";"1";"1";"6228"
"One and Poli";"1";"1";"6229"
"Thomass Jackson";"3";"3";"3594"
"Ströer Duo & Howard Fine";"2";"2";"4472"
"Kay Suzuki";"1";"1";"6230"
"02Albums";"2";"2";"4473"
"mgun";"1";"1";"6231"
"OKZharp & Manthe Ribane";"1";"1";"6232"
"Vladislav Delay";"1";"1";"6233"
"Pendant";"1";"1";"6234"
"Jeff Mills";"2";"2";"4474"
"Joe Goddard";"3";"3";"3595"
"Duke";"1";"1";"6235"
"Shelly Manne";"1";"1";"6236"
"Matrixxman";"1";"1";"6237"
"Peak Time Boys";"1";"3";"3596"
"Diskoking Burnhart McKoolski";"3";"6";"2304"
"Bussi Man";"1";"3";"3597"
"Nuri";"9";"35";"402"
"Africaine 808";"1";"1";"6238"
"Telespazio";"1";"1";"6239"
"Bambooman";"9";"18";"834"
"Jon Kabat-Zinn";"1";"1";"6240"
"Dandara, Arutani";"1";"1";"6241"
"Chouk Bwa";"2";"2";"4475"
"Efdemin";"12";"24";"595"
"Goofy Man";"1";"2";"4476"
"Underground Resistance";"3";"3";"3598"
"Sophie";"2";"2";"4477"
"Larry Maluma & Kalimba";"1";"1";"6242"
"George McGregor & The Bronzettes";"1";"2";"4478"
"Strata-Gemma";"3";"4";"3002"
"Smith";"1";"2";"4479"
"Mittagsjournal (17.05.2019) by ORF Radio Ö1";"1";"1";"6243"
"Madlaks";"1";"2";"4480"
"Sweely";"2";"11";"1390"
"Kalaha Moon";"1";"1";"6244"
"Alton Ellis";"3";"4";"3003"
"Sola Rosa";"1";"4";"3004"
"Slightly Stoopid";"4";"9";"1649"
"Nostalgia 77";"4";"22";"672"
"Jain";"1";"1";"6245"
"Ini Kamoze";"1";"2";"4481"
"Rae & Christian";"2";"4";"3005"
"Tinariwen";"3";"4";"3006"
"Bremer/McCoy";"26";"69";"194"
"Apparat";"2";"3";"3599"
"Absolutely Free";"1";"2";"4482"
"DJ Yoda";"1";"1";"6246"
"Franco F. & Marika Lenny";"1";"1";"6247"
"Mattmosphere";"3";"3";"3600"
"Go Yama";"1";"1";"6248"
"Solar Quest";"5";"99";"116"
"Gilb'R";"3";"10";"1510"
"Dazion";"1";"1";"6249"
"Max abysmal";"3";"5";"2599"
"Mutado Pintado Presents Sworn Virgins";"1";"2";"4483"
"Franco F.";"1";"2";"4484"
"Klein & M.B.O.";"1";"1";"6250"
"Waffles";"1";"1";"6251"
"Pépé Bradock";"14";"22";"673"
"Rise of the Moon";"1";"1";"6252"
"Brian Eno & David Byrne";"1";"1";"6253"
"Renegade Soundwave";"1";"1";"6254"
"Don Carlos";"3";"4";"3007"
"Antoine Kogut";"1";"1";"6255"
"Darkside";"19";"31";"455"
"Black Jazz Consortium";"3";"9";"1650"
"JAN KINČL";"1";"1";"6256"
"Emmanuel Jal";"1";"9";"1651"
"Tora Vinter";"1";"3";"3601"
"Justus Köhncke";"1";"1";"6257"
"Franco F. Simulation Lab";"1";"3";"3602"
"Mixhell";"2";"2";"4485"
"Nashil Pichen";"1";"1";"6258"
"Stepwise Records";"1";"1";"6259"
"Penny Penny";"1";"1";"6260"
"Sandy Harless";"1";"2";"4486"
"Cracky";"1";"1";"6261"
"Kiefer";"31";"106";"107"
"L'Orange";"1";"1";"6262"
"Mounika.";"6";"9";"1652"
"Acid Arab";"2";"2";"4487"
"Shackleton";"1";"2";"4488"
"Knautic";"1";"3";"3603"
"axelboman";"10";"21";"706"
"Amselcom";"1";"1";"6263"
"Kasper Bjørke";"1";"2";"4489"
"Congi";"14";"32";"437"
"STL";"11";"14";"1066"
