Artist;Album;AlbumId;Track;Date#fadgad
"Session Victim";"Listen To Your Heart";"a637695a-fb60-4f07-999e-0adb747a7598";"Moons and Flowers";"1533232393000"
"Session Victim";"Listen To Your Heart";"a637695a-fb60-4f07-999e-0adb747a7598";"The Hatch";"1533232789000"
"Session Victim";"Listen To Your Heart";"a637695a-fb60-4f07-999e-0adb747a7598";"Shadows";"1533232964000"
"Shigeto";"The New Monday";"6260a6fc-b887-492d-82e9-4e60b994c239";"Detroit Part II";"1533233163000"
"Shigeto";"The New Monday";"6260a6fc-b887-492d-82e9-4e60b994c239";"Barry White (ft. ZelooperZ)";"1533233611000"
"Shigeto";"The New Monday";"6260a6fc-b887-492d-82e9-4e60b994c239";"Ice Breaker";"1533233947000"
"Shigeto";"The New Monday";"6260a6fc-b887-492d-82e9-4e60b994c239";"In Case You Forgot";"1533234342000"
"kurup";"";"";"joeira";"1533241151000"
"Valentin Stip";"Vox Populi 001";"";"Groom Lake";"1533241570000"
"Dusty Baron";"";"";"Keeping the Child Feeling (Original)";"1533241988000"
"kurup";"";"";"a marcha nativa dos índios quiriris";"1533242308000"
"kurup";"";"";"Depois que o Ilê Passar - Virginia Rodrigues (Kurup Edit)";"1533242673000"
"kurup";"";"";"verba volant";"1533243039000"
"kurup";"";"";"rio azul";"1533243357000"
"Cheops";"Mogul";"";"Cheops";"1533243733000"
"Gorillaz";"The Now Now";"02f41720-962a-4746-83fe-dda72a284885";"Tranz";"1533244322000"
"Karl Hector & The Malcouns";"Ka Rica-Tar";"";"Kingdom of d'mt";"1533279603000"
"Gorillaz";"The Now Now";"02f41720-962a-4746-83fe-dda72a284885";"Lake Zurich";"1533279604000"
"Nicola Conte";"Let Your Light Shine On";"77e8a5a2-288f-4d31-8b31-85e08842678c";"Cosmic Peace";"1533279858000"
"Mitski";"Nobody";"c750abc4-fa67-42fc-948d-9472655aacdc";"Nobody";"1533280149000"
"Ross From Friends";"Family Portrait";"2e3b694b-4d2c-485e-a9bf-72028dceeb87";"Thank God I'm A Lizard";"1533280343000"
"Ross From Friends";"Family Portrait";"2e3b694b-4d2c-485e-a9bf-72028dceeb87";"Thank God I'm A Lizard";"1533280649000"
"George Fitzgerald";"Burns (HAAi’s Sci-fi Hi-Fi Remix)";"";"Burns - HAAi’s Sci-fi Hi-Fi Remix";"1533280668000"
"Fernando Falcão";"Outro Tempo";"";"Amanhecer tabajara (à Alceu Valença)";"1533281147000"
"BCUC";"Our Truth";"88af4f0e-ce28-41e0-8dd3-d0e3e2e275b2";"Yinde - Short Version";"1533281476000"
"BCUC";"Our Truth";"88af4f0e-ce28-41e0-8dd3-d0e3e2e275b2";"Asazani";"1533281795000"
"BCUC";"Our Truth";"88af4f0e-ce28-41e0-8dd3-d0e3e2e275b2";"In My Blues";"1533282822000"
"BCUC";"Our Truth";"88af4f0e-ce28-41e0-8dd3-d0e3e2e275b2";"Yinde - Short Version";"1533283023000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Ladeira dos inocentes";"1533283618000"
"Fernando Falcão";"Memória das Águas";"568fd3be-3592-4993-ab58-0dbae38791d8";"Ladeira dos inocentes";"1533283970000"
"Karl Hector & The Malcouns";"Ka Rica-Tar";"";"Kingdom of d'mt";"1533293528000"
"Karl Hector & The Malcouns";"Ka Rica-Tar";"";"Leealeh";"1533293722000"
"Karl Hector & The Malcouns";"Ka Rica-Tar";"";"Transition >X<";"1533293898000"
"Karl Hector & The Malcouns";"Ka Rica-Tar";"";"Shangold";"1533293955000"
"Karl Hector & The Malcouns";"Ka Rica-Tar";"";"Ka Rica-Tar";"1533294122000"
"Karl Hector & The Malcouns";"Ka Rica-Tar";"";"Transition >F<";"1533294319000"
"Karl Hector & The Malcouns";"Ka Rica-Tar";"";"dege dub";"1533294364000"
"Tom Misch";"Geography";"39435342-ad91-48ea-b75b-f7167c605418";"Before Paris";"1533294550000"
"Tom Misch";"Geography";"39435342-ad91-48ea-b75b-f7167c605418";"Lost in Paris";"1533294702000"
"Tom Misch";"Geography";"39435342-ad91-48ea-b75b-f7167c605418";"South of the River";"1533294896000"
"Tom Misch";"Geography";"39435342-ad91-48ea-b75b-f7167c605418";"Movie";"1533295166000"
