Name;Tracks;Scrobbles;Rank;Region
Caroline Rose;12;14;1082;
Louis Cole;2;3;3603;
Ben Hayes;5;19;794;
Dexter Story;28;114;93;🇺🇸 US
Beatrice Dillon & Kassem Mosse;2;3;3604;
Vedagor;7;14;1083;
Phaserboys;4;15;1018;
V (24);24;30;481;
Kid Koala;16;16;963;
Vedomir;11;23;649;
Audion;1;1;6181;
Dionigi;2;2;4474;
Atom TM;5;6;2321;
DJ Nature & Kuniyuki;3;13;1184;
K15 & Kuniyuki;1;3;3605;
Kuniyuki & Jimpster;2;6;2322;
The War on Drugs;1;1;6182;
Die Orangen;5;11;1403;
Rick Cuevas;1;1;6183;
Medeski, Martin & Wood;5;11;1404;
Coro Qom Chelaalapi;2;2;4475;
Tommy Galento;2;2;4476;
Beans;1;1;6184;
Opio;1;1;6185;
Marlowe;3;4;3020;
Hilmar Jensson;1;1;6186;
David August;11;14;1084;
Tapes;9;22;687;
Illa J;1;1;6187;
nkisi;2;2;4477;
Kuniyuki;10;11;1405;
Catastrophe;2;2;4478;
Aaron Parks;1;1;6188;
Wilma Vritra;16;41;352;
Rene Schier;1;1;6189;
Will Dimaggio;8;31;463;
De Pikles;1;1;6190;
David Stout;1;1;6191;
Phyllyp Vernacular;1;1;6192;
Pinty;8;30;482;
Ibu Selva;11;13;1185;
azul-revolto;1;1;6193;
Oberst & Buchner;2;2;4479;
Dan Croll;1;1;6194;
kalupke;5;14;1085;
William Arcane;4;10;1529;
Birdhouse;12;43;334;
Genius of Time;6;10;1530;
Moonstarr;2;5;2619;
The Jet Age of Tomorrow;8;8;1848;
Jet Age of Tomorrow;2;2;4480;
Nomade Records;3;3;3606;
Tommy Guerrero;21;31;464;
The Elder Statesman;1;1;6195;
Catching Flies;20;52;283;
Jean-Luc Ponty;2;3;3607;
Kuniyuki Takahashi;12;15;1019;
Hendrick Valera;1;1;6196;
Vernal Equinox;2;11;1406;
Biralo;2;2;4481;
Yellow Shoots;4;17;901;
Anchorsong;13;45;320;
BRANKO;11;20;754;
KH;1;2;4482;
Alex Kassian;5;17;902;
âme;1;4;3021;
Durante;1;4;3022;
Harry Charles;2;5;2620;
Ian Ewing;1;1;6197;
Olsen;1;3;3608;
Lee Ritenour;1;1;6198;
Chasman;1;1;6199;
Sony Enang;1;2;4483;
Steve Marshall;1;1;6200;
Janus Rasmussen;13;68;200;
Caribou;6;8;1849;
Debora Ipekel;1;1;6201;
Colin Matthews;1;1;6202;
d'Voxx;1;1;6203;
Jay Glass Dubs;6;6;2323;
Ensemble Economique;1;1;6204;
Waak Waak Djungi;1;1;6205;
Sonny Sharrock;1;2;4484;
Sly & Robbie;1;5;2621;
Lijadu Sisters;2;8;1850;
LA Priest;3;19;795;
moscoman;4;5;2622;
Saâda Bonaire;4;5;2623;
Jill Kroesen;1;1;6206;
Midori Takada;3;3;3609;
Urfali Babi;1;1;6207;
Finis Africae;1;1;6208;
Waipod Phetsuphan;1;1;6209;
Orchestra Baobab;1;1;6210;
Tempel Rytmik;1;3;3610;
Lawrence le doux;1;42;344;
Pedro Vian;1;1;6211;
Pye Corner Audio;6;8;1851;
Sir Victor Uwaifo;1;8;1852;
Aroop Roy;6;31;465;
young wolf;2;4;3023;
Bombino;1;1;6212;
Holly Walker;9;21;721;
Zapatilla;3;8;1853;
Neil Cowley;38;240;23;🇬🇧 GB
MAST (4);1;1;6213;
Jeremy Spellacey;1;1;6214;
DJs Pareja;1;1;6215;
Gesaffelstein;1;1;6216;
The Chemical Brothers;2;2;4485;
Maxmillion Dunbar;2;4;3024;
Armando;2;2;4486;
Firma Do Txiga;1;1;6217;
Üdytü Ützeltürk And His Male Harem;1;1;6218;
Jennifer Lara;2;8;1854;
Arthur Miles;1;2;4487;
Fantastic Mr Fox;1;2;4488;
Frits Wentink;6;26;566;
Space Invadas;12;35;409;
Mitú;2;3;3611;
SLG;1;3;3612;
Qtier;1;3;3613;
Nadine Shah;1;2;4489;
Luiz Bonfá;12;34;421;
Etta Bond;1;3;3614;
La Lupe;1;1;6219;
Jon Wesseltoft;1;2;4490;
Harmonia;1;3;3615;
Peter Power & Psilosamples;1;3;3616;
Leonidas Jancidakis, Mauricio Sprovieri & Renato Nassif;1;1;6220;
Peter Power & Bronze Savage;1;2;4491;
Jlin;3;5;2624;
Bèzuayènè Zègèyè;1;2;4492;
Gregory Isaacs;1;1;6221;
Teta Lando;1;3;3617;
Sir Shina Peters;1;3;3618;
Delicious Inc.;1;3;3619;
Nastro;1;1;6222;
Vakula:Kez YMV;1;1;6223;
Rob;2;3;3620;
Morcheeba;4;7;2055;
Iñigo Vontier;3;3;3621;
Footshooter;10;25;586;
Dreem Lion;1;1;6224;
Alexis Le-Fan;1;1;6225;
Pulo Ndj;15;22;688;
LOVE, PEACE & TRANCE;1;1;6226;
Laurel Halo;2;3;3622;
Stallone The Reducer;1;2;4493;
Parris;2;8;1855;
Rrose;1;2;4494;
Machine Woman;1;2;4495;
Mittagsjournal (30.03.2019) by ORF Radio Ö1;1;2;4496;
Siti Muharam;1;1;6227;
Love;10;12;1274;
"Matanza;Maywa";1;1;6228;
Time Wharp;3;4;3025;
Journal um 5 (31.03.2019) by ORF Radio Ö1;1;1;6229;
Abendjournal um 18 (02.04.2019) by ORF Radio Ö1;1;1;6230;
Jiony;22;36;401;
RELAÉN;4;9;1670;
Wu-Lu;5;8;1856;
Scrimshire;10;26;567;
Benjamin Brunn;3;4;3026;
African Vibration;1;7;2056;
Slow Nomaden;2;2;4497;
Boogat;1;6;2324;
Shimshon Miel;2;3;3623;
Andi Theke;1;1;6231;
Khaled Kurbeh;4;14;1086;
Admin;4;5;2625;
Ciel;2;3;3624;
Mulatu Astatke;9;20;755;
Samo DJ;2;8;1857;
Tornado Wallace;5;11;1407;
Don't Dj;2;7;2057;
Daphne;3;9;1671;
Second Language;2;6;2325;
Tiago;2;6;2326;
Karamika;2;7;2058;
The Sun God;2;5;2626;
Powder;11;23;650;
Vertigo Inc;2;4;3027;
K-Line;2;4;3028;
Kettenkarussell;3;9;1672;
jules etienne;2;3;3625;
Lord of the Isles;7;20;756;
COS/MES;4;4;3029;
AkizzBeatzz;1;1;6232;
Marie Davidson;5;19;796;
Theo Parrish;8;18;850;
Call Super;27;68;201;
Sylvan Esso;1;1;6233;
Maceo & The Macks;1;1;6234;
Lamb;1;1;6235;
James Alexander Bright;1;1;6236;
Masked Man;1;1;6237;
JrD.;1;1;6238;
Charlie Megira;1;1;6239;
Ernesto Djédjé;1;1;6240;
Timmy Thomas;1;4;3030;
R. D. Burman;1;1;6241;
Letta Mbulu;8;71;186;
George McCrae;1;5;2627;
Can;3;6;2327;
Kaada;2;5;2628;
Desmond Dekker;1;5;2629;
D.R. Hooker;1;1;6242;
Dan Bay;6;12;1275;
The Durutti Column;5;14;1087;
Eddie Warner;1;1;6243;
CHIEMI ERI;1;1;6244;
The People Star;1;1;6245;
The Apostles;1;3;3626;
STEVE MONITE;2;11;1408;
Sweet Talks;1;1;6246;
Lidaju Sisters;1;1;6247;
Voodoohop;2;2;4498;
Shina Williams & His African Percussionists;2;5;2630;
"SPACE INVADAS;Guilty Simpson";1;1;6248;
Daboa;1;1;6249;
Gnonnas Pédro;1;7;2059;
Hany Mehanna;1;1;6250;
Miriam Makeba;1;2;4499;
Tenor Saw;1;8;1858;
Sizike;1;3;3627;
Orange Juice;1;1;6251;
France Gall;1;1;6252;
Harmonic Sounds Band;1;1;6253;
Quiet Storm;1;1;6254;
The Time;1;1;6255;
Cheryl Lynn;1;1;6256;
Lord Rhaburn;1;1;6257;
Sons Of The Kingdom;1;1;6258;
Atomic Forest;1;1;6259;
Los Aragon;1;1;6260;
Jack Bruce;1;1;6261;
A Made Up Sound;1;1;6262;
Wolf MÃ¼ller meets the Nile Project;4;4;3031;
Y-Bayani and Baby Naa & their Band of Enlightenment Reason and Love;1;1;6263;
Lee Dodou;1;1;6264;
Y-Bayani & His Band of Enlightenment Reason and Love;1;4;3032;
The Polyversal Souls;2;7;2060;
Richard Bone;1;1;6265;
Aparde;2;2;4500;
Benedikt Frey;2;6;2328;
Josin;2;2;4501;
Leonidas Jancidakis;1;1;6266;
Sam Irl;1;1;6267;
Jesse Futerman;5;11;1409;
Igor Jadranin;1;1;6268;
Poirier;2;3;3628;
Smbd;1;2;4502;
Eric Lau;1;1;6269;
13th Amendment;1;1;6270;
Elijah & The Ebonites;1;2;4503;
Young Senators;1;3;3629;
Nathan Britton;2;2;4504;
EVM 128 Edit;1;1;6271;
Clutchy Hopkins;3;3;3630;
Liquid Pegasus;1;2;4505;
Colm K Edit;1;1;6272;
Dr. Mad;1;1;6273;
KenLo Craqnuques;1;1;6274;
Victim Rebirth;1;1;6275;
"Wolf Müller; Niklas Wandt";3;3;3631;
Uku Kuut;12;15;1020;
DJ Chap;1;1;6276;
Aluna;1;1;6277;
Pauline Anna Storm;1;1;6278;
One and Poli;1;1;6279;
Thomass Jackson;3;3;3632;
Ströer Duo & Howard Fine;2;2;4506;
Kay Suzuki;1;1;6280;
02Albums;2;2;4507;
mgun;1;1;6281;
OKZharp & Manthe Ribane;1;1;6282;
Vladislav Delay;1;1;6283;
Pendant;1;1;6284;
Jeff Mills;2;2;4508;
Joe Goddard;3;3;3633;
Duke;1;1;6285;
Shelly Manne;1;1;6286;
Matrixxman;1;1;6287;
Peak Time Boys;1;3;3634;
Diskoking Burnhart McKoolski;3;6;2329;
Bussi Man;1;3;3635;
Nuri;9;35;410;
Africaine 808;1;1;6288;
Telespazio;1;1;6289;
Bambooman;9;18;851;
Jon Kabat-Zinn;1;1;6290;
Dandara, Arutani;1;1;6291;
Chouk Bwa;2;2;4509;
Efdemin;12;24;612;
Goofy Man;1;2;4510;
Underground Resistance;3;3;3636;
Sophie;2;2;4511;
Larry Maluma & Kalimba;1;1;6292;
George McGregor & The Bronzettes;1;2;4512;
Strata-Gemma;3;4;3033;
Smith;1;2;4513;
Mittagsjournal (17.05.2019) by ORF Radio Ö1;1;1;6293;
Madlaks;1;2;4514;
Sweely;2;11;1410;
Kalaha Moon;1;1;6294;
Alton Ellis;3;4;3034;
Sola Rosa;1;4;3035;
Slightly Stoopid;4;9;1673;
Nostalgia 77;4;22;689;
Jain;1;1;6295;
Ini Kamoze;1;2;4515;
Rae & Christian;2;4;3036;
Tinariwen;3;4;3037;
Bremer/McCoy;26;69;198;
Apparat;2;3;3637;
Absolutely Free;1;2;4516;
DJ Yoda;1;1;6296;
Franco F. & Marika Lenny;1;1;6297;
Mattmosphere;3;3;3638;
Go Yama;1;1;6298;
Solar Quest;5;102;116;🇬🇧 GB
Gilb'R;3;10;1531;
Dazion;1;1;6299;
Max abysmal;3;5;2631;
Mutado Pintado Presents Sworn Virgins;1;2;4517;
Franco F.;1;2;4518;
Klein & M.B.O.;1;1;6300;
Waffles;1;1;6301;
Pépé Bradock;14;22;690;
Rise of the Moon;1;1;6302;
Brian Eno & David Byrne;1;1;6303;
Renegade Soundwave;1;1;6304;
Don Carlos;3;4;3038;
Antoine Kogut;1;1;6305;
Darkside;19;31;466;
Black Jazz Consortium;3;9;1674;
JAN KINČL;1;1;6306;
Emmanuel Jal;1;9;1675;
Tora Vinter;1;3;3639;
Justus Köhncke;1;1;6307;
Franco F. Simulation Lab;1;3;3640;
Mixhell;2;2;4519;
Nashil Pichen;1;1;6308;
Stepwise Records;1;1;6309;
Penny Penny;1;1;6310;
Sandy Harless;1;2;4520;
Cracky;1;1;6311;
Kiefer;31;106;112;🇬🇧 GB
L'Orange;1;1;6312;
Mounika.;6;9;1676;
Acid Arab;2;2;4521;
Shackleton;1;2;4522;
Knautic;1;3;3641;
axelboman;10;21;722;
Amselcom;1;1;6313;
Kasper Bjørke;1;2;4523;
Congi;14;32;449;
STL;11;14;1088;
Ahmoudou Madassane;3;6;2330;
Deena Abdelwahed;2;6;2331;
Jus' Us;1;1;6314;
Jimmy Cliff;1;2;4524;
Harmony Four;1;1;6315;
Country Comfort;1;1;6316;
Esa;2;5;2632;
Hakobune;2;2;4525;
Steel Pulse;2;2;4526;
Cultiz;1;1;6317;
Rob Galbraith;1;3;3642;
Lost Souls Of Saturn;3;4;3039;
ynfnd;2;2;4527;
URUBU Marinka;2;2;4528;
NÔMADE MUSIC;1;4;3040;
Luke Abbott;8;23;651;
The Cinematic Orchestra;9;19;797;
Jacob Karlzon;1;1;6318;
Jack Garratt;1;1;6319;
Julian Waterfall Pollack;2;2;4529;
Ben Khan;1;1;6320;
Late of the Pier;1;1;6321;
leveldva;2;5;2633;
Inverted Audio;1;1;6322;
Ladino Romance;1;1;6323;
Moullinex;2;6;2332;
Ralph Falcon;1;2;4530;
Zulu;1;1;6324;
Lord Kitchener;1;1;6325;
Thapporn Petchubon;1;1;6326;
Autocreation;5;5;2634;
Ron Korb;1;2;4531;
Flying Lotus;47;63;221;
Tomaga;7;14;1089;
Sven Libaek;1;1;6327;
Hoshina Anniversary;2;4;3041;
Isaac Sasson;7;24;613;
Àbáse;22;81;160;
FUNKY FRENCH LEAGUE;1;1;6328;
Biosphere;3;4;3042;
The Holy Spirit of Nothing;2;2;4532;
Moodymann;17;65;212;
Los Imperials;1;1;6329;
Alice Clark;4;4;3043;
Ogoya Nengo and The Dodo Women’s Group;1;1;6330;
Laurie Spiegel;9;71;187;
Loscil;5;9;1677;
LayFullStop;1;3;3643;
Lord Tusk;1;3;3644;
Kojey Radical;6;7;2061;
=CoN+KwAkE=;1;2;4533;
Mubashira Mataali Group;1;1;6331;
Abstract Orchestra;1;1;6332;
Becky Severson;1;1;6333;
Roudoudou;1;3;3645;
Don Laka;2;4;3044;
Blak Beat Niks;2;13;1186;
Ezra Furman;1;1;6334;
Tusks;2;2;4534;
Robert Rich;6;21;723;
"Angel Romero;Academy of St. Martin in the Fields;Pepe Romero;Iona Brown";1;1;6335;
"Academy of St. Martin in the Fields;Iona Brown;Celin Romero";1;1;6336;
"Angel Romero;Academy of St. Martin in the Fields;Iona Brown";1;1;6337;
Paul Horn;2;4;3045;
Russill Paul;2;11;1411;
"London Symphony Orchestra;Sir Colin Davis";1;1;6338;
The United States Coast Guard Band;1;1;6339;
St. Petersburg Chamber Choir;1;1;6340;
"Dawn Upshaw;London Sinfonietta;David Zinman";1;1;6341;
Ancestral Elephants;3;4;3046;
Laraaji & Jonathan Goldman;1;2;4535;
Soname;1;1;6342;
Shantala;1;1;6343;
Guide;7;9;1678;
Roland Kirk Quartet;7;7;2062;
Daniel Masson;1;1;6344;
Matize;5;8;1859;
Radioactive Orchestra;1;1;6345;
Ada;4;52;284;
ishmael ensemble;18;98;124;
川井憲次;2;2;4536;
Tigersushi Records;1;1;6346;
RollOverMilano;1;1;6347;
Kelpe / DRUT Recordings;4;4;3047;
Abstrakce Records;1;1;6348;
Die Falschen Freunde;1;1;6349;
bassso;1;2;4537;
Nature Sounds;2;2;4538;
Captain Sensible;1;1;6350;
Robosonic;2;16;964;
AWAY Music;1;1;6351;
Heimlich Knüller;3;6;2333;
Pete Brandt's Method;1;2;4539;
Domenique Dumont;17;40;360;
Shintaro Sakamoto;1;1;6352;
Nosaj Thing;5;12;1276;
Klanger;1;1;6353;
IMYRMIND;1;1;6354;
Endurance;1;1;6355;
Bjørn Torske;7;13;1187;
Carmen Villain;3;8;1860;
Lindstrøm;9;14;1090;
Tarjei Nygård;1;1;6356;
Donovan;1;1;6357;
Beacon;3;4;3048;
Passarani;3;3;3646;
Karen Dalton;1;1;6358;
Rodney Jones;1;1;6359;
The Mighty Imperials;1;1;6360;
Empire of the Sun;1;1;6361;
Buena Vista Social Club;1;2;4540;
Fellini Félin;3;3;3647;
António Dos Santos;2;7;2063;
Oasis;1;1;6362;
Circle Of Live;2;4;3049;
Alan Hovhaness;1;2;4541;
Phil France;1;1;6363;
Penguin Cafe;12;17;903;
Noema;2;2;4542;
Natural Sugars;1;1;6364;
DJ Nu-Mark;3;4;3050;
Raiza Biza;3;7;2064;
King Krule;5;8;1861;
Trentemøller;1;1;6365;
Sonny & The Sunsets;1;2;4543;
Ghost Against Ghost;1;1;6366;
Lancelot Layne;1;3;3648;
Jim Croce;1;1;6367;
Femi Kuti;1;3;3649;
Vis À Vis;1;2;4544;
Bob Moses/Billy Martin;1;1;6368;
POPP;2;2;4545;
Ronin Arkestra;4;6;2334;
Laurence Pike;2;2;4546;
Edmony Krater;2;8;1862;
Thievery Corporation;6;6;2335;
Köhncke;1;53;277;
Vladimir;1;1;6369;
haft;1;6;2336;
GONNO × MASUMURA;1;3;3650;
Les Filles De Illighadad;4;8;1863;
Aim;1;2;4547;
Mock & Toof;1;1;6370;
Chicco;1;5;2635;
Atom™;1;2;4548;
Mop Mop;17;29;497;
Hildegard Knef;1;1;6371;
Marcello Giordani;1;1;6372;
Kollektiv Turmstrasse;3;4;3051;
Låpsley;1;1;6373;
Etienne de Crécy;3;6;2337;
Kyrill & Redford;1;1;6374;
Dennis Cruz;1;1;6375;
Bas Amro;1;1;6376;
DJ Marky;2;2;4549;
Richie Havens;1;1;6377;
Tullio De Piscopo;1;1;6378;
DJ Fitchie;1;1;6379;
Kourosh Yaghmaei;1;1;6380;
Look Like;1;1;6381;
Canu;1;1;6382;
Nina Simone;9;19;798;
Rodney Hunter;1;1;6383;
Them;1;1;6384;
Mattafix;1;1;6385;
Lamont Dozier;1;1;6386;
Waldeck;2;4;3052;
Yse Saint Laur'ant;1;1;6387;
Simakov;1;1;6388;
Digital Afrika;14;24;614;
Kiko Navarro;1;1;6389;
Randomized Coffee;1;1;6390;
Scott nice;2;2;4550;
August Artier;1;1;6391;
Ali Farka Touré;19;87;149;🇲🇱 ML
Van Stee;2;12;1277;
William Onyeabor;2;2;4551;
Jackie Mittoo;2;2;4552;
Gloria Ann Taylor;3;6;2338;
ESG;3;3;3651;
Darondo;2;2;4553;
Brokenchord;9;16;965;
Jimi Hendrix;8;8;1864;
Paul Traeumer;3;5;2636;
Soul Keita;3;12;1278;
Oval Space / The Pickle Factory;1;2;4554;
The Beatles;2;2;4555;
Curtis Mayfield;1;3;3652;
Creedence Clearwater Revival;1;1;6392;
The Karminsky Experience Inc.;2;5;2637;
Thierry David;1;1;6393;
Extremely Bad Man;1;2;4556;
Marlena Shaw;1;1;6394;
Commodores;1;1;6395;
Whitney;1;1;6396;
CROWN RULER;3;3;3653;
Tendts;1;1;6397;
Dionisio Maio;1;2;4557;
JOSE CASIMIRO;2;3;3654;
Bana;1;2;4558;
Corbo;1;1;6398;
Edmoon Records;1;2;4559;
Modern Obscure Music;1;1;6399;
THE DIABOLICAL LIBERTIES;4;4;3053;
Timbuktu;2;5;2638;
May East;1;1;6400;
Dequinha e Zaba;1;1;6401;
Oharaska;1;1;6402;
Fausto Fawcett;1;1;6403;
Manu Delago;10;13;1188;
Mathias Eick;1;1;6404;
Nookala Chinna Satyanarayana;1;1;6405;
Gene Harris;12;26;568;
The Invisible;2;3;3655;
Mndsgn;7;9;1679;
Håkan Hellström;1;1;6406;
Veronica Maggio;1;1;6407;
Silvana Imam;1;1;6408;
Jonti;1;1;6409;
Jacques;1;1;6410;
Abro;1;1;6411;
Compost;1;2;4560;
Rahhh;1;1;6412;
Spacetime Continuum;1;3;3656;
Pegasus;1;4;3054;
Sly And Lovechild;1;1;6413;
Hiver;1;1;6414;
Batang Frisco;1;2;4561;
Joji Yuasa;1;3;3657;
Wilburn Burchette;1;3;3658;
Guem;1;1;6415;
SHIKA SHIKA;3;5;2639;
Späk;1;1;6416;
Black Pumas;20;172;46;🇺🇸 US
Seanie T;1;3;3659;
Cleve Pozar;1;1;6417;
Bodega;1;1;6418;
Dino & The Deltones;1;1;6419;
The Friendly Seven feat. Betty Thompson;1;2;4562;
Yo La Tengo;8;10;1532;
Clark;7;27;539;
Jake Milliner;2;4;3055;
Derrok;1;1;6420;
Uakti;1;1;6421;
Salon - Zur wilden Renate;1;1;6422;
Barbara Moore;1;1;6423;
inflo;2;2;4563;
Merle;1;1;6424;
Manuel Darquart;12;24;615;
The Marias;1;1;6425;
Sam Evian;1;1;6426;
BADBADNOTGOOD;24;36;402;
Jungle;17;43;335;
Mansur Brown;12;38;382;
The Flying Stars Of Brooklyn NY;1;1;6427;
Sault;25;57;256;
Paul Cherry;1;1;6428;
Lil Pump;1;1;6429;
Charlotte Adigéry;15;166;51;🇧🇪 BE
Cypress Hill;2;2;4564;
Slumberville;1;1;6430;
The Small Circle;1;1;6431;
Joaquín Cornejo;4;6;2339;
Tawiah;9;79;164;
Area Code 615;1;3;3660;
Crue-l Grand Orchestra;1;3;3661;
Glissandro 70;1;3;3662;
Holger Czukay;1;2;4565;
Rey De Copás;1;2;4566;
The Mole;1;2;4567;
The Electric South;1;13;1189;
Carlos Hernandez;1;3;3663;
Finzy Kontini;1;3;3664;
Musique;1;3;3665;
Soylent Green;1;2;4568;
Tsha;5;6;2340;
Titeknots;2;3;3666;
Dan Kye;12;82;157;
Barakas;1;2;4569;
R. Lyle;1;2;4570;
Throwing Snow;2;3;3667;
Nepa Allstar;1;2;4571;
Earth Trax;10;17;904;
John Beltran;9;33;436;
Georges Rey Ensemble;1;2;4572;
NATURAL LATERAL;4;4;3056;
Santi;2;10;1533;
Meitei;23;52;285;
DAMA DAMA;1;1;6432;
Jonas Sá;1;1;6433;
HouseWork;1;1;6434;
Budgie;3;9;1680;
MinaeMinae;10;10;1534;
Arms and Sleepers;7;40;361;
Josephine Wiggs;5;5;2640;
Marcus Hamblett;7;22;691;
Niklas Wandt;8;14;1091;
Ralph Heidel;5;9;1681;
Keope;2;3;3668;
Karaba;1;9;1682;
David Nesselhauf;1;3;3669;
Sissi Rada;1;2;4573;
Andromeda Mega Express Orchestra;1;2;4574;
Oracles;1;1;6435;
Onom Agemo;1;1;6436;
Torben Unit;1;1;6437;
JJ Whitefield;6;19;799;
Yacht;4;12;1279;
Salomea;1;1;6438;
Matana Roberts;3;6;2341;
Karnaval Blues;2;2;4575;
Barney Artist;2;2;4576;
Shellac;1;2;4577;
Steve Moore;5;5;2641;
Benita;1;1;6439;
Dusky;1;1;6440;
Peter Abdul;1;1;6441;
Ami Dang;1;3;3670;
DJ Python;3;11;1412;
Leafcutter John;1;6;2342;
Antoine Berjeaut;1;2;4578;
Angel Bat Dawid;7;17;905;
Rev Harvey Gates;1;3;3671;
Batsumi;1;1;6442;
DJ Cam;24;71;188;
Oso Leone;4;19;800;
Ferg;1;1;6443;
Crac;3;6;2343;
Kali Malone;3;13;1190;
ras;2;6;2344;
Rozi Plain;3;7;2065;
Beverly Glenn-Copeland;1;1;6444;
Pat Thomas;3;8;1865;
Meara O'Reilly;1;1;6445;
Hans Hass;1;1;6446;
RVDS;1;2;4579;
Horizont;1;1;6447;
JRBB;1;1;6448;
Little Dragon;24;219;28;🇸🇪 SE
Jad & The;5;15;1021;
The Quiet Ones;1;4;3057;
Leif;2;4;3058;
Camila Costa;1;4;3059;
Svínhunder;1;3;3672;
Yu Su;12;20;757;
Amerigo Gazaway;1;2;4580;
Carlos Niño & Friends;4;7;2066;
David Walters;26;173;44;🇫🇷 FR
Kanot;1;1;6449;
Okain;1;1;6450;
Contact;1;1;6451;
Sinoptik Music;1;2;4581;
WaWuWe;1;1;6452;
The Frightnrs;4;7;2067;
The Gladiators;1;2;4582;
Toots and The Maytals;1;1;6453;
John Brown's Body;1;2;4583;
The Vernons;1;1;6454;
The Jamaicans;1;1;6455;
Sublime;1;2;4584;
Desmond Cheese;7;15;1022;
Bob Marley & The Wailers;1;2;4585;
Treugol'nyy Son;1;1;6456;
Astro Nautico;1;1;6457;
Naxatras;1;3;3673;
Ziggy Marley;1;1;6458;
Muno;1;1;6459;
Batu Ozer;1;1;6460;
Niju;1;1;6461;
Jacob Groening;3;16;966;
Loewenthal;1;1;6462;
ōme;3;3;3674;
DaniT;1;1;6463;
Prins Emanuel;12;20;758;
Aaron Taylor;2;2;4586;
Serafina Steer;1;3;3675;
Brainstory;6;11;1413;
Mark de Clive-Lowe;14;22;692;
Frank Sinatra;5;6;2345;
Matt Terry;1;1;6464;
Gwen Stefani;2;3;3676;
Sia;3;4;3060;
98º;1;1;6465;
Coldplay;1;2;4587;
Destiny's Child;1;2;4588;
Britney Spears;1;1;6466;
The Vamps;1;1;6467;
Sam Smith;1;1;6468;
Ariana Grande;2;4;3061;
Bing Crosby;7;10;1535;
Chris Rea;2;4;3062;
Meghan Trainor;1;2;4589;
FEATHERED SUN;2;4;3063;
The Colours That Rise;4;13;1191;
Santilli;1;2;4590;
Pole;3;16;967;
The Midnight Hour;1;2;4591;
Sam Prekop;6;16;968;
Andras;11;42;345;
Max Clouth Clan;1;1;6469;
Pacific Coliseum;4;5;2642;
Family Time;2;8;1866;
Micatone;11;14;1092;
Aporia;4;7;2068;
Thibault Renou;1;2;4592;
Kevin Morby;1;4;3064;
Peaking Lights;15;31;467;
❖UMOJA;6;6;2346;
midub;1;1;6470;
Detroit Swindle;1;1;6471;
Space Ghost;15;38;383;
Kasper Marott;2;5;2643;
Verner;1;2;4593;
DIRK 81;2;6;2347;
S. N. Goenka;1;1;6472;
Bété;6;12;1280;
Sick Puppies;1;1;6473;
Clarence Carter;1;3;3677;
Slow Attack Ensemble;2;5;2644;
Holy Fuck;4;9;1683;
Nautiluss;1;1;6474;
Violetta Parisini;7;17;906;
Meetsysteem;1;3;3678;
Billy Ocean;1;3;3679;
Yoshinori Hayashi;1;1;6475;
Cowboy Rhythmbox;1;2;4594;
Ichisan;1;3;3680;
Edwin Starr;1;1;6476;
Dervish;1;43;336;
Ana Roxanne;8;23;652;
Mary Lattimore;5;68;202;
Shyamal Sinha;1;12;1281;
Liquid Youth;2;3;3681;
Deep House Vancouver;1;1;6477;
Blusher;1;1;6478;
Tina Malia;2;5;2645;
Mapstation;4;4;3065;
Nihiloxica;4;11;1414;
Pigmalião;9;33;437;
Robert Stillman;1;3;3682;
Gal Gracen;10;76;171;
HÆLOS;1;1;6479;
gillespeterson;2;3;3683;
Jac the Disco;2;14;1093;
Fagaru Evolution;2;8;1867;
Cito Jarvis;1;9;1684;
Arrow;2;3;3684;
Sebastian Böhm;1;5;2646;
Peter Britto;1;1;6480;
*D* Ivan;1;2;4595;
Adonijah;1;2;4596;
Levi John;1;10;1536;
The Millers;1;2;4597;
Mohjah;1;1;6481;
Spiking;1;2;4598;
Lewlewal de Podor;2;5;2647;
Roger Bain;1;1;6482;
Juno D;1;1;6483;
Andre Tanker;1;2;4599;
Colin Jackman;1;14;1094;
Touch;1;1;6484;
Bill Campbell;1;3;3685;
D' Rebel Band;1;2;4600;
Barrio Lindo;9;14;1095;
Traditional;5;7;2069;
Thomas Fehlmann;7;12;1282;
Zuco 103;2;2;4601;
The Sabres of Paradise;1;1;6485;
Nadia Nair;2;2;4602;
John Hopkins Uni;1;1;6486;
Abba Gargando;2;6;2348;
Alkibar Gignor;1;2;4603;
Intriya Ag Babo;1;4;3066;
Children in Djounhan;1;2;4604;
Amanar;1;2;4605;
Pingipung;1;2;4606;
King Aus;1;1;6487;
Mary Clark;1;19;801;
"Quantic;Los Miticos Del Ritmo";1;1;6488;
Horostar de Tonka;1;2;4607;
Nelson Of The East;6;15;1023;
Kohra;1;1;6489;
baiuca;1;6;2349;
IYAKUH;1;1;6490;
Sangeet;1;1;6491;
Nomadic;1;1;6492;
Fany Havest;1;1;6493;
Quirino Do Canto;1;1;6494;
Tchiss Lopes;1;3;3686;
João Cirilo;1;2;4608;
Abel Lima;1;1;6495;
Os Apolos;1;1;6496;
Américo Brito;2;4;3067;
Elisio Vieira;2;3;3687;
Modha;4;7;2070;
Tidiane Thiam;2;3;3688;
Nicolas Godin;5;13;1192;
JuJu Rogers;6;9;1685;
Trippin Jaguar;4;6;2350;
Nasty P.;1;1;6497;
Feyyaz Yigit;2;2;4609;
