Name;Tracks;Scrobbles;Rank;Region
Nicole Willis;17;24;603;
Jono McCleery;3;4;2920;
El Michels Affair;13;28;513;
Everything Is Recorded;2;4;2921;
Makadem;3;6;2257;
Lagartijeando;8;8;1801;
Melanie De Biasio;2;15;1004;
Joomanji;2;4;2922;
Washed Out;29;108;107;🇺🇸 US
Nadah El Shazly;1;3;3446;
Daymé Arocena;2;4;2923;
Voilaaa;5;10;1502;
Sarah Elizabeth Charles;2;2;4199;
The Orchestra Soledad;3;3;3447;
Nilüfer Yanya;5;7;2001;
OKZHARP;1;1;5615;
E Ruscha V;7;198;35;🇺🇸 US
Mr. Mitch;4;23;639;
K15;17;25;576;
Ikebe Shakedown;3;6;2258;
Kutiman;16;28;514;
KiNK;3;4;2924;
Boncana Maïga;4;11;1364;
Maajo;38;179;43;🇫🇮 FI
Fatima;4;6;2259;
Das Komplex;1;1;5616;
The Mauskovic Dance Band;12;39;369;
Uffe;6;18;833;
Locust Toybox;7;119;87;🇬🇧 GB
Makaya McCraven;53;93;135;🇺🇸 US
Big Thief;16;112;96;🇺🇸 US
Photay;29;48;303;
Young Fathers;12;35;407;
Stimming x Lambert;22;106;111;
Ghostpoet;24;35;408;
Carol Anne McGowan;1;1;5617;
Dauwd;31;242;22;🇬🇧 GB
Emanative;57;131;77;🇬🇧 GB
STAC;1;2;4200;
Rosie Brown;1;1;5618;
Dele Sosimi;16;114;92;🇬🇧 GB
Paper Tiger;4;4;2925;
Black Classical;25;75;174;
Mecca:83;1;1;5619;
Resonators;1;1;5620;
Sarathy Korwar;14;26;553;
Crazy P;21;41;349;
Yazz Ahmed;10;18;834;
Julia Biel;1;1;5621;
Blue States;3;3;3448;
Plantrae;1;1;5622;
Elsa Hewitt;5;6;2260;
Kerem Akdağ;4;8;1802;
Imarhan;1;1;5623;
Khruangbin;64;122;83;🇺🇸 US
Mala;3;9;1633;
Randy Weston;1;1;5624;
Golden Teacher;8;19;787;
Little Simz;11;29;490;
Thump;1;1;5625;
Collocutor;15;26;554;
Emanative & Earl Zinger & RN9;1;1;5626;
Kodäma;4;7;2002;
Slowdive;2;2;4201;
Larry de Kat;11;17;892;
Ninze;5;6;2261;
ÌFÉ;2;11;1365;
Etherwood;1;1;5627;
Hector Plimmer;25;51;287;
Afriquoi;2;2;4202;
Suplington;1;1;5628;
Honny & The Bees Band;1;6;2262;
Gorillaz;41;230;25;🇬🇧 GB
Alice Russell;2;21;709;
Dabrye;18;50;291;
Black Classical meets Sarah Webster Fabio;2;2;4203;
Yahoos;1;1;5629;
Oscar Sulley;1;1;5630;
DAISHO;2;4;2926;
Sun Ra;7;32;446;
DJ Sports;8;12;1257;
Fiium Shaarrk;5;7;2003;
Group As Salaam;1;1;5631;
Sam Jones;1;1;5632;
mugwisa international xylophone group;3;10;1503;
kurup;16;73;179;
Magnus P.i;4;11;1366;
Native Cruise;16;43;331;
Will Lister;4;17;893;
Rouge Mécanique;3;5;2542;
LT;6;22;677;
Dear earth;1;2;4204;
Tom Esselle;2;15;1005;
MSSS;1;4;2927;
SofaTalk;9;11;1367;
Four Tet;76;125;80;🇬🇧 GB
Jessy Lanza;7;11;1368;
The Bones of J.R. Jones;5;5;2543;
Shiny Objects;5;8;1803;
Joseph Shabason;16;139;68;🇨🇦 CA
Shabazz Palaces;2;4;2928;
PolyNation;2;2;4205;
Estrada Orchestra;1;1;5633;
Bicep;4;24;604;
DJ Nigga Fox;2;10;1504;
Peggy Gou;15;52;278;
Sons of Kemet;5;11;1369;
Shabaka Hutchings;1;2;4206;
Jameszoo;1;3;3449;
Evidence;10;14;1063;
Samiyam;1;1;5634;
Blue Lab Beats;12;28;515;
Susso;11;58;245;
Slime;1;1;5635;
Worldwide FM;4;5;2544;
Obongjayar;2;5;2545;
Mo Kolours;9;16;947;
Star Slinger;1;1;5636;
The Seshen;2;3;3450;
Gwenno;1;5;2546;
The Mysterons;1;1;5637;
Richard Houghten;75;112;97;🇺🇸 US
Virgil Howe;1;6;2263;
Michael Gordon;1;2;4207;
Cornelius;3;13;1162;
Skinshape;54;111;99;🇬🇧 GB
Chassol;13;16;948;
Mr Jukes;1;1;5638;
Solesides;1;1;5639;
A Macaca;2;18;835;
Bill Withers;3;3;3451;
Maxwell Owin;6;20;744;
Robag Wruhme;17;60;232;
Daniel Avery;24;56;257;
Clever Austin;9;10;1505;
Mast;20;55;266;
Sean Khan;1;2;4208;
Bontan;1;1;5640;
La Yegros;1;1;5641;
Traumprinz;14;15;1006;
Totally Enormous Extinct Dinosaurs;12;16;949;
Amber Mark;9;47;309;
Principles of Geometry;1;3;3452;
Midnight Sister;6;13;1163;
John Talabot;18;73;180;
Avalon Emerson;7;9;1634;
Toshio Matsuura Group;8;45;317;
Jessica Lauren;1;4;2929;
Grupo X;1;1;5642;
Kerala Dust;7;9;1635;
Alma Negra;5;16;950;
Seb Wildblood;35;69;196;
Rodrigo Gallardo;33;52;279;
Ryley Walker;2;3;3453;
Boards of Canada;23;36;397;
Kaitlyn Aurelia Smith;40;185;39;🇺🇸 US
Prince of Denmark;4;4;2930;
Majik;1;3;3454;
C.O.W. 牛;3;3;3455;
Ross From Friends;23;49;296;
Ólafur Arnalds;30;117;90;🇮🇸 IS
Marenn Sukie;10;14;1064;
Glenn Astro;18;94;129;🇩🇪 DE
DJ Katapila;1;2;4209;
Earthboogie;10;33;432;
Bennis Cletin;1;1;5643;
Rang'ala;1;2;4210;
Francis Bebey;5;13;1164;
Christy Essien;2;10;1506;
Aby Ngana Diop;1;3;3456;
Ali Nuur;1;2;4211;
Maisha;2;4;2931;
Ezra Collective;57;314;15;🇬🇧 GB
Theon Cross;5;6;2264;
Cortex;6;7;2004;
Oceanvs Orientalis;30;72;182;
Lutto Lento;7;7;2005;
Nicola Cruz;51;154;60;🇪🇨 EC
Gábor Szabó;20;91;139;🇭🇺 HU
Ali Kuru;6;8;1804;
Shaluza Max;1;6;2265;
Leon Vynehall;32;59;238;
Yaeji;2;3;3457;
Bawrut;1;4;2932;
Midland;5;10;1507;
Mr. Fingers;5;5;2547;
JD Twitch;2;2;4212;
Melé;5;12;1258;
Tale of Us;2;4;2933;
Yotam Avni;1;3;3458;
Mr. T.C.;1;1;5644;
Massimo Vanoni;1;1;5645;
Baaba Maal;1;1;5646;
Mr Raoul K;2;2;4213;
Khidja;2;2;4214;
Hey Mother Death;1;1;5647;
Mark Knight;1;6;2266;
The Emperor Machine;4;13;1165;
Bob Sinclar;1;2;4215;
Trikk;1;1;5648;
Mind Enterprises;2;2;4216;
Cerrone;6;14;1065;
Shuggie Otis;13;94;130;🇺🇸 US
Norma Tanega;1;1;5649;
Bepu N'Gali;1;1;5650;
Mocky;10;38;379;
Tune-Yards;1;1;5651;
thomas meinecke;3;8;1805;
Tenesha The Wordsmith;10;52;280;
Andréa Daltro;1;5;2548;
Morrison Kincannon;16;34;417;
FYI Chris;3;3;3459;
Koji Ono;1;1;5652;
Ruby Rushton;5;6;2267;
Piry Reis;1;4;2934;
Avant Garde;1;1;5653;
Nando Carneiro;1;6;2268;
Cinema;1;5;2549;
Os Mulheres Negras;2;6;2269;
Fernando Falcão;12;66;207;
Anno Luz;1;3;3460;
Sunwatchers;6;6;2270;
Che;10;22;678;
Radio Slave;2;6;2271;
Tommaso Cappellato;17;25;577;
Dr. Lonnie Smith;4;4;2935;
Planet Battagon;2;5;2550;
Populous;6;10;1508;
松浦俊夫 presents HEX;8;16;951;
Umeko Ando;18;25;578;
Gacha Bakradze;1;1;5654;
Marc Moulin;5;7;2006;
Portable Sunsets;2;3;3461;
San Ignacio;13;22;679;
Discoshaman;1;3;3462;
Rio Mira;1;1;5655;
Jean Grae;12;14;1066;
Improbeats;3;7;2007;
Tom Misch;7;10;1509;
Ekambi Brillant;1;7;2008;
String Theory;3;5;2551;
Hailu Mergia;13;21;710;
Dj Duke;2;6;2272;
GO DUGONG;16;27;530;
Romare;46;248;21;🇬🇧 GB
Chancha Via Circuito;21;39;370;
Alican;1;6;2273;
Tuğçe Kurtiş;1;2;4217;
Shake Stew;11;36;398;
Massive Attack;4;6;2274;
Shakarchi & Stranéus;17;210;33;
